PRIORITY,FROM,GUARD,TO,NOTES
-,INACTIVE,activated,BUCK_SETTLE,ENERGY_MODE opens Q49; programs PWM; enables buck only
1,BUCK_SETTLE,VCHG ready AND V_bat < 3000mV,PRECHARGE,close Q49 only after instantaneous VCHG is above V_bat
2,BUCK_SETTLE,VCHG ready AND 3000mV <= V_bat < 3650mV,CC,normal battery starts CC after staged connection
3,BUCK_SETTLE,VCHG ready AND V_bat >= 3650mV,CV,full battery starts voltage regulation after staged connection
4,BUCK_SETTLE,deactivated,INACTIVE,"EXIT ACTION: open Q49, assert BUCK_DIS, reset state"
5,BUCK_SETTLE,VCHG below readiness AND Vpanel safe,BUCK_SETTLE,"hold Q49 open and trim PWM toward more output using instantaneous VCHG feedback"
6,BUCK_SETTLE,<default>,BUCK_SETTLE,"hold Q49 open; MPPT and the connected-panel dusk qualifier remain disabled"
1,PRECHARGE,V_bat >= 3000mV,CC,battery recovered — move to full current
2,PRECHARGE,timeout (15min),FAULT,precharge timeout — battery may be damaged
3,PRECHARGE,deactivated,INACTIVE,"EXIT ACTION: open Q49, pwm = PWM_MIN_DUTY (399), assert BUCK_DIS, reset state"
4,PRECHARGE,<default>,PRECHARGE,stay — regulate at allowed_chg (budget-clamped to <=200mA)
1,CC,V_bat >= 3650mV,CV,voltage threshold reached
2,CC,deactivated,INACTIVE,"EXIT ACTION: open Q49, pwm = PWM_MIN_DUTY (399), assert BUCK_DIS, reset state"
3,CC,<default>,CC,stay — regulate at allowed_chg (load-aware target)
1,CV,I_charge < 200mA for 30s,SIGNAL_BAT_FULL,charge complete — signal ENERGY_MODE
2,CV,deactivated,INACTIVE,"EXIT ACTION: open Q49, pwm = PWM_MIN_DUTY (399), assert BUCK_DIS, reset state"
3,CV,<default>,CV,stay — regulate voltage at 3650mV
